problem,metric,metric_display_name,original_mean,original_std,original_variance,original_ci95_low,original_ci95_high,refactored_mean,refactored_std,refactored_variance,refactored_ci95_low,refactored_ci95_high,absolute_difference_mean,absolute_difference_std,absolute_difference_variance,relative_error_mean,relative_error_std,relative_error_variance,relative_error_ci95_low,relative_error_ci95_high
Problem 1,P_out,Overall pass probability,0.9952022674742835,0.0005248794756320166,2.754984639397408e-07,0.9951562597597332,0.9952482751888339,0.9952022674742835,0.0005248794756320166,2.754984639397408e-07,0.9951562597597332,0.9952482751888339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Problem 1,P_E,Stage E pass probability,0.9997822788921652,4.638841421881646e-05,2.151884973736493e-09,0.9997782127683807,0.9997863450159497,0.9997822788921652,4.638841421881646e-05,2.151884973736493e-09,0.9997782127683807,0.9997863450159497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Problem 1,P_G,Hidden defect pool probability,0.002701132367311486,0.00025460304310795964,6.482270955983356e-08,0.002678815426614112,0.0027234493080088604,0.002701132367311486,0.00025460304310795964,6.482270955983356e-08,0.002678815426614112,0.0027234493080088604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Problem 1,E_T_all,Expected total processing time (h),10.576719981150795,0.24753095221943783,0.061271572306661616,10.555022936551437,10.598417025750154,10.576719981150795,0.2475309522194378,0.0612715723066616,10.555022936551437,10.598417025750154,3.232969447708456e-16,7.307164909187527e-16,5.339465901006156e-31,3.064569179611598e-17,6.920688079994282e-17,4.789592350057494e-33,2.4579441228923614e-17,3.671194236330835e-17
Problem 2,makespan_days,Makespan (days),59.96127285404867,0.7316834452579122,0.5353606640644881,59.897137972321644,60.0254077357757,59.728812033607,0.6680916369931826,0.44634643542023045,59.67025121963878,59.78737284757522,0.49428709551290695,0.491494605675075,0.2415669474076975,0.008218963446567652,0.008131481928932245,6.612099836055167e-05,0.00750620762961223,0.008931719263523073
Problem 2,qualified_count,Qualified robots,110.988,2.952505813908302,8.717290581162324,110.7292014548086,111.2467985451914,110.964,2.9766465778959046,8.860424849699399,110.70308542354783,111.22491457645216,0.144,0.35709807907093577,0.1275190380761523,0.0012973390393480545,0.0032184082912517227,1.0358151929197833e-05,0.001015233114379413,0.001579444964316696
Problem 2,omission_probability,Omission probability,5.34134007585335e-05,0.0006881868194840692,4.736010985115988e-07,-6.908833617228105e-06,0.0001137356351342951,7.049974175791798e-05,0.0007859239336687606,6.176764295133784e-07,1.6104715974845133e-06,0.00013938901191835144,0.00012391314251645148,0.0010410240983742603,1.0837311733959415e-06,70499741.76391798,785923933.6682212,6.176764295125307e+17,1610471.6035317928,139389011.9243042
Problem 2,misjudgment_probability,Misjudgment probability,0.012944523203788636,0.005112477968056217,2.6137430973860224e-05,0.012496394751602923,0.01339265165597435,0.01279393051786978,0.005266416457669545,2.7735142305612638e-05,0.01233230876214061,0.013255552273598951,0.004349351281448312,0.003701478018412124,1.3700939520788146e-05,0.415261426450667,0.5164310546301397,0.26670103418639834,0.3699942486519469,0.4605286042493871
Problem 2,throughput_per_day,Throughput per day,1.8509513643064819,0.041967894943994624,0.0017613042060301695,1.847272716120562,1.8546300124924018,1.8577297765707608,0.0424836997215925,0.0018048647420344387,1.8540059161026445,1.861453637038877,0.01573723078774126,0.014896880844731591,0.000221917058902131,0.008540154729374064,0.008139267831449725,6.624768083207231e-05,0.007826716447972667,0.009253593010775461
Problem 2,stage_E_station_utilization,Stage E utilization,0.5486145607959958,0.02415321942325371,0.0005833780085078403,0.546497437768166,0.5507316838238256,0.27009268137901393,0.012917587510628091,0.00016686406709473487,0.26896040491087453,0.27122495784715334,0.27852187941698187,0.02262445858655466,0.0005118661263347268,0.5071168038812697,0.025242317927158375,0.000637174614335741,0.504904217160514,0.5093293906020253
Problem 3,makespan_days,Makespan (days),31.41394912002647,0.3605945234705314,0.1300284103569396,31.382341616448134,31.445556623604805,31.281728371940634,0.3597925259286551,0.12945066171412198,31.25019116654634,31.313265577334928,0.26173894715065,0.21981845445895615,0.04832015292072418,0.008313077242014372,0.006953301259540925,4.8348398405933405e-05,0.007703593514067131,0.008922560969961614
Problem 3,qualified_count,Qualified robots,110.668,3.01528770100627,9.09195991983968,110.40369837977018,110.93230162022984,110.656,2.9972706355157603,8.98363126252505,110.3932776451913,110.91872235480871,0.132,0.3617149089416987,0.1308376753507014,0.0012014683514350514,0.0032987020653034685,1.088143531563737e-05,0.0009123243668579812,0.0014906123360121217
Problem 3,omission_probability,Omission probability,7.147418354314905e-05,0.0007969564703674344,6.351396156605194e-07,1.6178689034337636e-06,0.00014133049818286432,5.310843741009189e-05,0.0006843234965677381,4.6829864795469517e-07,-6.875161781399723e-06,0.0001130920366015835,8.886833523895524e-05,0.000883784305565758,7.810746987643491e-07,35090419.3980919,554293437.6579285,3.072412150306438e+17,-13495542.60044676,83676381.39663056
Problem 3,misjudgment_probability,Misjudgment probability,0.01322771567381458,0.005234184760905187,2.7396690111292093e-05,0.012768919150873222,0.013686512196755938,0.013113948464015613,0.00540056774691406,2.916613198900841e-05,0.012640567829327258,0.013587329098703967,0.004259889834326125,0.0033405041383153047,1.1158967898101676e-05,0.38260829221799886,0.4575011760780063,0.2093073261127589,0.3425065460217352,0.4227100384142625
Problem 3,throughput_per_day,Throughput per day,3.522806247881518,0.08350999892746527,0.006973919920865251,3.51548627373293,3.530126222030106,3.5372582350841117,0.08087753600569583,0.006541175830352625,3.530169006484344,3.5443474636838794,0.02973971781296816,0.024065287101210493,0.0005791380432636881,0.008486772399395184,0.006941658924537739,4.8186628624614435e-05,0.007878309167105312,0.009095235631685055
Problem 3,stage_E_station_utilization,Stage E utilization,0.550519319779936,0.020259557811218055,0.00041044968270608656,0.5487434912403051,0.5522951483195668,0.27342044458310916,0.010853773106631404,0.00011780439065023513,0.2724690694235407,0.2743718197426776,0.2770988751968268,0.018777568351620783,0.0003525970731997904,0.5029548080071177,0.021001528995036364,0.0004410642201293532,0.5011139428257158,0.5047956731885196
